rvtr,artist,identitySource,canonicalTitle,normalizedTitleKey,graphTitle,graphTrackId,hasPrimaryVersion,repairSkipReason,skipGroup,skipGroupDetail,peakHot100
RVTR726719,MACKLEMORE & RYAN LEWIS,vdj,Can'T Hold Us Feat Ray Dalton,can't hold us feat ray dalton,,,false,no_graph_title,vdj_only_identity,VDJ identity with no primary graph track — local filename-derived title,
RVTR495873,50 cent,vdj,Candy Shop Feat Olvia,candy shop feat olvia,,,false,no_graph_title,vdj_only_identity,VDJ identity with no primary graph track — local filename-derived title,
RVTR836366,josh groban,vdj,Canto Alla Vita Feat Uring The Corrs,canto alla vita feat uring the corrs,,,false,no_graph_title,vdj_only_identity,VDJ identity with no primary graph track — local filename-derived title,
RVTR376249,megan thee stallion,vdj,Cash Shit Feat Dababy,cash shit feat dababy,,,false,no_graph_title,vdj_only_identity,VDJ identity with no primary graph track — local filename-derived title,
RVTR616004,"Ryan Hurd, Maren Morris",vdj,Chasing A Feat Er You,chasing a feat er you,,,false,no_graph_title,vdj_only_identity,VDJ identity with no primary graph track — local filename-derived title,
RVTR362000,The Statler Brothers,vdj,Child Of The Fi Feat Ies,child of the fi feat ies,,,false,no_graph_title,vdj_only_identity,VDJ identity with no primary graph track — local filename-derived title,
RVTR373481,anuel aa,vdj,China Feat J Balvin Ozuna,china feat j balvin ozuna,,,false,no_graph_title,vdj_only_identity,VDJ identity with no primary graph track — local filename-derived title,
RVTR906315,PF Project,vdj,Choose Life Feat Ewan Mcgregor,choose life feat ewan mcgregor,,,false,no_graph_title,vdj_only_identity,VDJ identity with no primary graph track — local filename-derived title,
RVTR344556,offset,vdj,Clout Feat Cardi B,clout feat cardi b,,,false,no_graph_title,vdj_only_identity,VDJ identity with no primary graph track — local filename-derived title,
RVTR801510,leona lewis,vdj,Collide Feat Avicii,collide feat avicii,,,false,no_graph_title,vdj_only_identity,VDJ identity with no primary graph track — local filename-derived title,
RVTR735314,fleetwoods,vdj,Come So Feat Ly To Me,come so feat ly to me,,,false,no_graph_title,vdj_only_identity,VDJ identity with no primary graph track — local filename-derived title,
RVTR702065,h.e.r,vdj,Come Through Feat Chris Brown,come through feat chris brown,,,false,no_graph_title,vdj_only_identity,VDJ identity with no primary graph track — local filename-derived title,
RVTR604131,little mix,vdj,Confetti Feat Saweetie,confetti feat saweetie,,,false,no_graph_title,vdj_only_identity,VDJ identity with no primary graph track — local filename-derived title,
RVTR665316,kane brown,vdj,Cool Again Feat Nelly,cool again feat nelly,,,false,no_graph_title,vdj_only_identity,VDJ identity with no primary graph track — local filename-derived title,
RVTR542423,blueface,vdj,Daddy Feat Rich The Kid,daddy feat rich the kid,,,false,no_graph_title,vdj_only_identity,VDJ identity with no primary graph track — local filename-derived title,
RVTR947022,jennifer lopez,vdj,Dance Again Feat Pitbull,dance again feat pitbull,,,false,no_graph_title,vdj_only_identity,VDJ identity with no primary graph track — local filename-derived title,
RVTR520323,don omar,vdj,Danza Kuduro Feat Lucenzo,danza kuduro feat lucenzo,,,false,no_graph_title,vdj_only_identity,VDJ identity with no primary graph track — local filename-derived title,
RVTR297917,katy perry,vdj,Dark Horse Feat Juicy J,dark horse feat juicy j,,,false,no_graph_title,vdj_only_identity,VDJ identity with no primary graph track — local filename-derived title,
RVTR193930,badfinger,vdj,Day A Feat Er Day,day a feat er day,,,false,no_graph_title,vdj_only_identity,VDJ identity with no primary graph track — local filename-derived title,
RVTR894990,Inward Eye,vdj,Day A Feat Er Day,day a feat er day,,,false,no_graph_title,vdj_only_identity,VDJ identity with no primary graph track — local filename-derived title,
RVTR346052,pop smoke,vdj,Demeanor Feat Dua Lipa,demeanor feat dua lipa,,,false,no_graph_title,vdj_only_identity,VDJ identity with no primary graph track — local filename-derived title,
RVTR836150,chris brown,vdj,Deuces Feat Tyga Kevin Mccall,deuces feat tyga kevin mccall,,,false,no_graph_title,vdj_only_identity,VDJ identity with no primary graph track — local filename-derived title,
