fileArtist,fileTitle,filePath,currentRvtr,currentIdentitySource,currentGraphTitle,canonicalRvtr,canonicalIdentitySource,canonicalTitle,canonicalPeak,matchTier,combinedScore,conflictKind,reassignRecommended
Godsmack,Cryin  Like A Bitch,/Users/bobhopp/DJ MEDIA/VIDEO/2010's/Godsmack - Cryin  Like A Bitch.mp4,RVTR878081,vdj,Cryin Like A Bitch,RVTR801046,hot100,Cryin' Like A Bitch,74,A,100,graph_metadata,yes
Golden Earring,Twilight Zone (Live),,RVTR238328,vdj,Twilight Zone Live,RVTR733448,hot100_vdj,Twilight Zone,10,A,0,graph_or_exact,yes
Hot Butter,Pop Corn (Dance),,RVTR167187,vdj,Pop Corn Dance,RVTR882232,hot100_vdj,Popcorn,9,A,0,graph_or_exact,yes
Human League,(Keep Feeling) Fascination,/Users/bobhopp/DJ MEDIA/VIDEO/1980's/Human League - Fascination (Keep Feeling).mp4,RVTR993668,vdj,Keep Feeling Fascination,RVTR051426,hot100,Keep Feeling Fascination,8,A,100,graph_metadata,yes
Hurricane Smith,Oh Babe What Would You Say (Dancers),,RVTR169475,vdj,Oh Babe What Would You Say Dancers,RVTR352823,hot100,Oh Babe What Would You Say,3,A,0,graph_or_exact,yes
Iron Butterfly,In A Gadda Da Vida (Live),,RVTR571444,vdj,In A Gadda Da Vida Live,RVTR674680,hot100,In A Gadda Da Vida,30,A,0,graph_or_exact,yes
J Geils Band,Centerfold,/Users/bobhopp/DJ MEDIA/VIDEO/1980's/J Geils Band - Centerfold.mp4,RVTR231490,vdj,Centerfold,RVTR145789,hot100,Centerfold,1,B,100,graph_metadata,yes
J Geils Band,Love Stinks,/Users/bobhopp/DJ MEDIA/VIDEO/1980's/J Geils Band - Love Stinks.mp4,RVTR295043,vdj,Love Stinks,RVTR737964,hot100_vdj,Love Stinks,38,B,100,graph_metadata,yes
J Geils Band,Freeze Frame,/Users/bobhopp/DJ MEDIA/VIDEO/1980's/J Geils Band - Freeze Frame.mp4,RVTR454258,vdj,Freeze Frame,RVTR752304,hot100,Freeze Frame,4,B,100,graph_metadata,yes
Jackson 5,ABC (Carol Burnett),,RVTR569168,vdj,Abc Carol Burnett,RVTR998338,hot100_vdj,Abc,1,A,0,graph_or_exact,yes
Jackson 5,ABC (Ed Sullivan Show),,RVTR139481,vdj,Abc Ed Sullivan Show,RVTR998338,hot100_vdj,Abc,1,A,0,graph_or_exact,yes
Jake Owen,Anywhere With You (Lyric Video),,RVTR321401,vdj,Anywhere With You Lyric Video,RVTR805722,hot100,Anywhere With You,46,A,0,graph_or_exact,yes
James Gang,Walk Away (1971),,RVTR363968,vdj,Walk Away 1971,RVTR489211,hot100,Walk Away,51,A,0,graph_or_exact,yes
Jason Aldean,Fly Over States (Live On Letterman),,RVTR573394,vdj,Fly Over States Live On Letterman,RVTR040254,hot100,Fly Over States,32,A,0,graph_or_exact,yes
Jason Derulo,Whatcha Say  Acoustic Version,,RVTR279784,vdj,Whatcha Say Acoustic Version,RVTR670573,hot100_vdj,Whatcha Say,1,A,0,graph_or_exact,yes
Jazmine Sullivan,Holding You Down (Goin' In Circles),/Users/bobhopp/DJ MEDIA/VIDEO/2010's/Jazmine Sullivan - Holding You Down (Goin' In Circles).mp4,RVTR716146,vdj,Holding You Down Goin' In Circles,RVTR298013,hot100,Holding You Down Goin In Circles,60,A,100,graph_metadata,yes
Jim Stafford,Swamp Witch (1974),,RVTR430060,vdj,Swamp Witch 1974,RVTR510197,hot100_vdj,Swamp Witch,39,A,0,graph_or_exact,yes
