rvtr,artist,title,playCount,reason,approvedFacts,approvedStories,candidateFacts,candidateStories,researchSources,canBuildCardsReason
RVTR654480,Rolling Stones,Wild Horses,15,ready_for_card_assembly,12,7,12,7,6,
RVTR857213,ABBA,"Knowing Me, Knowing You",15,ready_for_card_assembly,18,8,18,8,7,
RVTR571733,Bryan Adams,Cuts Like A Knife,15,ready_for_card_assembly,9,6,9,6,7,
RVTR882876,Glen Campbell,Wichita Lineman,15,ready_for_card_assembly,14,6,14,6,7,
RVTR246699,Marcy Playground,Sex And Candy,15,ready_for_card_assembly,11,8,11,8,6,
RVTR788766,Arrested Development,Mr. Wendal,15,ready_for_card_assembly,14,7,14,7,6,
RVTR569568,Howard Jones,Things Can Only Get Better,15,ready_for_card_assembly,15,6,15,6,7,
RVTR641113,Paul Simon,Diamonds On The Soles Of Her Shoes,15,ready_for_card_assembly,12,7,13,7,7,
RVTR585827,Tears For Fears,Everybody Wants To Rule The World,15,ready_for_card_assembly,13,7,13,7,7,
RVTR461411,UB40,Red Red Wine,14,ready_for_card_assembly,14,7,14,7,7,
RVTR429997,Chicago,25 or 6 to 4,14,ready_for_card_assembly,16,6,16,6,7,
RVTR670742,The Kinks,Come Dancing,14,ready_for_card_assembly,12,7,12,7,6,
RVTR843332,Robyn,Show Me Love,14,ready_for_card_assembly,13,7,13,7,7,
RVTR910922,Split Enz,I Got You,14,ready_for_card_assembly,9,7,9,7,6,
RVTR383764,Madonna,Ray Of Light,14,ready_for_card_assembly,5,4,5,4,5,
RVTR811534,Billy Strings,Fearless,14,ready_for_card_assembly,13,6,13,6,3,
RVTR492663,Ted Nugent,Stranglehold,14,ready_for_card_assembly,16,7,16,7,6,
RVTR843634,Limp Bizkit,N 2 Gether Now,14,ready_for_card_assembly,11,6,11,6,6,
RVTR498218,Billy Idol,Hot In The City,14,ready_for_card_assembly,13,7,13,7,6,
RVTR250327,Peter Gabriel,Solsbury Hill,14,ready_for_card_assembly,9,5,9,5,7,
RVTR653355,Bon Jovi,Wanted Dead Or Alive,14,ready_for_card_assembly,18,6,18,6,7,
RVTR951694,Elvis Presley,Jailhouse Rock,14,ready_for_card_assembly,11,5,11,5,6,
RVTR363109,Michael Jackson,Black Or White,14,ready_for_card_assembly,14,6,14,6,7,
RVTR573393,The Bangles,Walk Like An Egyptian,14,ready_for_card_assembly,14,7,14,7,7,
RVTR220805,Journey,"Lovin', Touchin', Squeezin'",14,ready_for_card_assembly,13,6,13,6,7,
RVTR563512,Steve Miller Band,The Joker,14,ready_for_card_assembly,11,7,11,7,6,
RVTR081116,Blondie,Rapture,13,ready_for_card_assembly,11,7,11,7,6,
RVTR506000,ABBA,Dancing Queen,13,ready_for_card_assembly,20,7,20,7,7,
