FilePath,Artist,Title,Year,RVTags
/Users/bobhopp/DJ MEDIA/VIDEO/1960's/Question Mark & The Mysterians - 96 Tears.mp4,Question Mark & The Mysterians,96 Tears,1967,#GarageRock #OneHitWonder #PartyStarter
/Users/bobhopp/DJ MEDIA/VIDEO/1960's/Sam & Dave - Soul Man.mp4,Sam & Dave,Soul Man,1967,#Soul #DanceFloor #PartyStarter #CrowdFavorite #SingAlong
/Users/bobhopp/DJ MEDIA/VIDEO/1960's/Scott McKenzie - San Francisco.mp4,Scott McKenzie,San Francisco,1967,#SummerOfLove #CrowdFavorite #SingAlong
/Users/bobhopp/DJ MEDIA/VIDEO/1960's/Small Faces - Itchycoo Park.mp4,Small Faces,Itchycoo Park,1967,#BritishInvasion #Psychedelic #CrowdFavorite
/Users/bobhopp/DJ MEDIA/VIDEO/1960's/Smokey Robinson & The Miracles - Tears Of A Clown.mp4,Smokey Robinson & The Miracles,Tears Of A Clown,1967,#Motown #CrowdFavorite #SingAlong
/Users/bobhopp/DJ MEDIA/VIDEO/1960's/Strawberry Alarm Clock - Incense And Peppermints.mp4,Strawberry Alarm Clock,Incense And Peppermints,1967,#Psychedelic #SummerOfLove #CrowdFavorite
/Users/bobhopp/DJ MEDIA/VIDEO/1960's/Tammy Wynette - Your Good Girls Gonna Go Bad.mp4,Tammy Wynette,Your Good Girls Gonna Go Bad,1967,#DeepCut
/Users/bobhopp/DJ MEDIA/VIDEO/1960's/Temptations - I Wish It Would Rain.mp4,Temptations,I Wish It Would Rain,1967,#Motown #Soul #SlowDance
"/Users/bobhopp/DJ MEDIA/VIDEO/1960's/The 5th Dimension - Up, Up and Away.mp4",The 5th Dimension,"Up, Up and Away",1967,#CrowdFavorite #SingAlong
/Users/bobhopp/DJ MEDIA/VIDEO/1960's/The Animals - CC Rider.mp4,The Animals,CC Rider,1967,#BritishInvasion #DeepCut
/Users/bobhopp/DJ MEDIA/VIDEO/1960's/The Animals - San Franciscan Nights.mp4,The Animals,San Franciscan Nights,1967,#BritishInvasion #SummerOfLove #Psychedelic
/Users/bobhopp/DJ MEDIA/VIDEO/1960's/The Animals - The Story of Bo Diddley.mp4,The Animals,The Story of Bo Diddley,1967,#BritishInvasion #DeepCut #TVFavorite
/Users/bobhopp/DJ MEDIA/VIDEO/1960's/The Animals - Tobacco Road.mp4,The Animals,Tobacco Road,1967,#BritishInvasion #DeepCut
/Users/bobhopp/DJ MEDIA/VIDEO/1960's/The Association - Never My Love.mp4,The Association,Never My Love,1967,#CrowdFavorite #SingAlong #SlowDance
/Users/bobhopp/DJ MEDIA/VIDEO/1960's/The Beach Boys - Darlin'.mp4,The Beach Boys,Darlin',1967,#CrowdFavorite #SingAlong
/Users/bobhopp/DJ MEDIA/VIDEO/1960's/The Beatles - All You Need Is Love.mp4,The Beatles,All You Need Is Love,1967,#BritishInvasion #SummerOfLove #CrowdFavorite #SingAlong
"/Users/bobhopp/DJ MEDIA/VIDEO/1960's/The Beatles - Hello, Goodbye.mp4",The Beatles,"Hello, Goodbye",1967,#BritishInvasion #CrowdFavorite #SingAlong #PartyStarter
/Users/bobhopp/DJ MEDIA/VIDEO/1960's/The Beatles - I Am The Walrus.mp4,The Beatles,I Am The Walrus,1967,#BritishInvasion #Psychedelic #DeepCut
/Users/bobhopp/DJ MEDIA/VIDEO/1960's/The Beatles - Lucy In The Sky With Diamonds.mp4,The Beatles,Lucy In The Sky With Diamonds,1967,#BritishInvasion #Psychedelic #SummerOfLove
/Users/bobhopp/DJ MEDIA/VIDEO/1960's/The Beatles - Penny Lane.mp4,The Beatles,Penny Lane,1967,#BritishInvasion #CrowdFavorite #SingAlong
/Users/bobhopp/DJ MEDIA/VIDEO/1960's/The Beatles - Strawberry Fields Forever.mp4,The Beatles,Strawberry Fields Forever,1967,#BritishInvasion #Psychedelic #SummerOfLove #CrowdFavorite
/Users/bobhopp/DJ MEDIA/VIDEO/1960's/The Beatles - Your Mother Should Know.mp4,The Beatles,Your Mother Should Know,1967,#BritishInvasion #SingAlong #DeepCut
/Users/bobhopp/DJ MEDIA/VIDEO/1960's/The Box Tops - The Letter.mp4,Unknown artist,The Box Tops - The Letter.mp4,1967,#GarageRock #CrowdFavorite #OneHitWonder #PartyStarter
/Users/bobhopp/DJ MEDIA/VIDEO/1960's/The Buckinghams - Kind Of A Drag.mp4,The Buckinghams,Kind Of A Drag,1967,#CrowdFavorite #PartyStarter #SingAlong
/Users/bobhopp/DJ MEDIA/VIDEO/1960's/The Cowsils - The Rain The Park And Other Things (B&W).mp4,The Cowsils,The Rain The Park And Other Things (B&W),1967,#CrowdFavorite #SingAlong #TVFavorite
/Users/bobhopp/DJ MEDIA/VIDEO/1960's/The Dave Clark Five - You Got What It Takes.mp4,The Dave Clark Five,You Got What It Takes,1967,#BritishInvasion #CrowdFavorite #DanceFloor
/Users/bobhopp/DJ MEDIA/VIDEO/1960's/The Doors - Light My Fire.mp4,The Doors,Light My Fire,1967,#Psychedelic #SummerOfLove #CrowdFavorite #PartyStarter
/Users/bobhopp/DJ MEDIA/VIDEO/1960's/The First Edition - Just Dropped In (To See What Condition My Condition Was In).mp4,The First Edition,Just Dropped In (To See What Condition My Condition Was In),1967,#Psychedelic #OneHitWonder #CrowdFavorite
/Users/bobhopp/DJ MEDIA/VIDEO/1960's/The Five Americans - Western Union.mp4,The Five Americans,Western Union,1967,#OneHitWonder #CrowdFavorite
"/Users/bobhopp/DJ MEDIA/VIDEO/1960's/The Foundations - Baby, Now That I ve Found You.mp4",The Foundations,"Baby, Now That I ve Found You",1967,#Soul #CrowdFavorite #SingAlong #DanceFloor
/Users/bobhopp/DJ MEDIA/VIDEO/1960's/The Gentrys - Keep on Dancing.mp4,The Gentrys,Keep on Dancing,1967,#GarageRock #DanceFloor #PartyStarter
/Users/bobhopp/DJ MEDIA/VIDEO/1960's/The Hollies - Carrie Anne.mp4,The Hollies,Carrie Anne,1967,#BritishInvasion #CrowdFavorite #SingAlong
/Users/bobhopp/DJ MEDIA/VIDEO/1960's/The Hombres - Let It All Hang Out.mp4,The Hombres,Let It All Hang Out,1967,#Novelty #OneHitWonder
/Users/bobhopp/DJ MEDIA/VIDEO/1960's/The Left Banke - Walk Away Renee.mp4,The Left Banke,Walk Away Renee,1967,#CrowdFavorite #SlowDance
/Users/bobhopp/DJ MEDIA/VIDEO/1960's/The Mamas and The Papas - Creque Alley.mp4,The Mamas and The Papas,Creque Alley,1967,#SummerOfLove #CrowdFavorite #DeepCut
/Users/bobhopp/DJ MEDIA/VIDEO/1960's/The Mamas and The Papas - Dedicated To The One I Love.mp4,The Mamas and The Papas,Dedicated To The One I Love,1967,#SummerOfLove #CrowdFavorite #SingAlong #SlowDance
/Users/bobhopp/DJ MEDIA/VIDEO/1960's/The Mamas and The Papas - Straight Shooter.mp4,The Mamas and The Papas,Straight Shooter,1967,#SummerOfLove #DeepCut
/Users/bobhopp/DJ MEDIA/VIDEO/1960's/The Mills Brothers - Cab Driver.mp4,The Mills Brothers,Cab Driver,1967,#DeepCut #SlowDance
/Users/bobhopp/DJ MEDIA/VIDEO/1960's/The Monkees - I'm A Believer.mp4,The Monkees,I'm A Believer,1967,#CrowdFavorite #SingAlong #PartyStarter #TVFavorite
/Users/bobhopp/DJ MEDIA/VIDEO/1960's/The Moody Blues - Tuesday Afternoon.mp4,The Moody Blues,Tuesday Afternoon,1967,#BritishInvasion #Psychedelic #SlowDance
/Users/bobhopp/DJ MEDIA/VIDEO/1960's/The Music Explosion - Little Bit O Soul.mp4,The Music Explosion,Little Bit O Soul,1967,#GarageRock #OneHitWonder #PartyStarter
/Users/bobhopp/DJ MEDIA/VIDEO/1960's/The Rolling Stones - Let's Spend The Night Together.mp4,The Rolling Stones,Let's Spend The Night Together,1967,#BritishInvasion #PartyStarter #CrowdFavorite
/Users/bobhopp/DJ MEDIA/VIDEO/1960's/The Rolling Stones - Ruby Tuesday.mp4,The Rolling Stones,Ruby Tuesday,1967,#BritishInvasion #SlowDance #CrowdFavorite
/Users/bobhopp/DJ MEDIA/VIDEO/1960's/The Rolling Stones - She's A Rainbow.mp4,The Rolling Stones,She's A Rainbow,1967,#BritishInvasion #Psychedelic #CrowdFavorite
/Users/bobhopp/DJ MEDIA/VIDEO/1960's/The Temptations - I Wish It Would Rain.mp4,The Temptations,I Wish It Would Rain,1967,#Motown #Soul #SlowDance
